휴가자수,공휴일후,식사가능인원,요일넘버,출장자수,월,공휴일전,정원수,연차쓰기좋은날,야근수,종류,일,반찬1,요일,재택근무자수,국,중식계,메인메뉴범주_조림,메인메뉴범주_찜,메인메뉴범주_샐러드,메인메뉴범주_국물,메인메뉴범주_튀김,메인메뉴범주_볶음,메인메뉴범주_구이
50,0,2401.0,0,150,2,0,2601,0,238,한식,1,8,1,0,5,1039,0,0,0,0,0,1,0
50,0,2378.0,1,173,2,0,2601,0,319,한식,2,2,2,0,4,867,0,0,0,0,1,0,0
56,0,2365.0,2,180,2,0,2601,0,111,일식,3,5,3,0,4,1017,0,0,0,0,1,0,0
104,0,2277.0,3,220,2,0,2601,0,355,한식,4,6,4,0,3,978,0,0,0,0,0,1,0
278,0,2142.0,4,181,2,1,2601,1,34,한식,5,7,5,0,4,925,0,0,0,0,1,0,0
383,1,2075.0,3,143,2,0,2601,1,417,한식,11,9,4,0,4,1045,0,0,0,0,0,0,1
389,0,2056.0,4,156,2,0,2601,0,93,한식,12,7,5,0,5,909,0,0,0,0,0,1,0
87,0,2310.0,0,204,2,0,2601,0,482,한식,15,5,1,0,4,1268,1,0,0,0,0,0,0
72,0,2293.0,1,236,2,0,2601,0,526,중식,16,2,2,0,3,1014,0,0,0,1,0,0,0
78,0,2273.0,2,250,2,0,2601,0,23,한식,17,8,3,0,4,916,1,0,0,0,0,0,0
77,0,2270.0,3,254,2,0,2601,0,367,한식,18,3,4,0,4,910,0,0,0,0,0,0,1
145,0,2204.0,4,252,2,0,2601,0,69,한식,19,5,5,0,5,763,0,0,0,0,1,0,0
90,0,2304.0,0,207,2,0,2601,0,434,한식,22,2,1,0,3,1298,0,0,0,0,0,0,1
57,0,2307.0,1,237,2,0,2601,0,488,한식,23,7,2,0,4,899,0,0,0,0,0,1,0
54,0,2315.0,2,232,2,0,2601,0,14,한식,24,3,3,0,4,1022,0,0,0,0,0,1,0
56,0,2284.0,3,261,2,0,2601,0,335,한식,25,5,4,0,5,917,0,0,0,0,0,1,0
144,0,2179.0,4,278,2,0,2601,0,42,한식,26,2,5,0,4,766,0,0,0,0,0,1,0
595,0,1838.0,0,168,2,1,2601,1,110,한식,29,7,1,0,4,869,0,0,0,0,0,1,0
127,1,2315.0,2,182,3,0,2624,0,261,한식,2,6,3,0,3,1127,0,0,0,0,0,1,0
61,0,2339.0,3,224,3,0,2624,0,351,중식,3,7,4,0,4,1000,0,0,0,1,0,0,0
83,0,2294.0,4,247,3,0,2624,0,79,한식,4,2,5,0,4,837,0,0,0,0,1,0,0
50,0,2379.0,0,195,3,0,2624,0,456,한식,7,5,1,0,4,1326,0,0,0,0,0,1,0
47,0,2365.0,1,212,3,0,2624,0,426,한식,8,2,2,0,3,1026,0,1,0,0,0,0,0
43,0,2356.0,2,225,3,0,2624,0,0,한식,9,7,3,0,5,901,1,0,0,0,0,0,0
55,0,2324.0,3,245,3,0,2624,0,290,일식,10,5,4,0,4,847,1,0,0,0,0,0,0
108,0,2241.0,4,275,3,0,2624,0,76,일식,11,1,5,0,4,728,0,0,0,0,1,0,0
61,0,2380.0,0,183,3,0,2624,0,376,한식,14,7,1,0,5,1286,0,0,0,0,0,1,0
38,0,2355.0,1,231,3,0,2624,0,399,한식,15,8,2,0,4,958,0,0,0,0,0,1,0
50,0,2361.0,2,213,3,0,2624,0,0,한식,16,4,3,0,4,998,0,0,0,0,0,0,1
52,0,2330.0,3,242,3,0,2624,0,327,중식,17,2,4,0,3,832,0,0,0,1,0,0,0
118,0,2229.0,4,277,3,0,2624,0,57,한식,18,9,5,0,4,757,0,0,0,0,0,0,1
65,0,2354.0,0,205,3,0,2624,0,329,한식,21,8,1,0,5,1030,0,0,0,0,0,1,0
41,0,2375.0,1,208,3,0,2624,0,378,한식,22,2,2,0,3,917,0,0,0,0,1,0,0
42,0,2346.0,2,236,3,0,2624,0,0,한식,23,5,3,0,4,963,0,0,0,0,1,0,0
53,0,2320.0,3,251,3,0,2624,0,293,한식,24,8,4,0,5,876,1,0,0,0,0,0,0
98,0,2251.0,4,275,3,0,2624,0,59,한식,25,2,5,0,3,861,0,0,0,0,0,0,1
77,0,2350.0,0,197,3,0,2624,0,299,한식,28,5,1,0,4,1193,0,0,0,0,0,1,0
52,0,2327.0,1,245,3,0,2624,0,259,한식,29,6,2,0,4,892,0,0,0,0,0,1,0
48,0,2346.0,2,230,3,0,2624,0,0,한식,30,2,3,0,4,1033,0,0,0,0,1,0,0
36,0,2340.0,3,248,3,0,2624,0,158,한식,31,7,4,0,4,781,0,0,0,0,0,1,0
103,0,2286.0,4,254,4,0,2643,0,47,한식,1,2,5,0,4,661,1,0,0,0,0,0,0
62,0,2360.0,0,221,4,0,2643,0,367,한식,4,8,1,0,4,1237,0,0,0,0,0,1,0
31,0,2370.0,1,242,4,0,2643,0,370,한식,5,2,2,0,5,840,0,0,0,0,0,1,0
37,0,2357.0,2,249,4,0,2643,0,0,한식,6,7,3,0,4,876,0,0,0,0,0,1,0
47,0,2338.0,3,258,4,0,2643,0,339,한식,7,7,4,0,5,853,0,1,0,0,0,0,0
87,0,2273.0,4,283,4,0,2643,0,64,한식,8,5,5,0,4,764,0,0,0,0,1,0,0
82,0,2358.0,0,203,4,0,2643,0,392,한식,11,9,1,0,4,1225,0,0,0,0,0,0,1
76,0,2342.0,1,225,4,0,2643,0,239,한식,12,8,2,0,4,771,1,0,0,0,0,0,0
106,0,2285.0,3,252,4,0,2643,0,326,한식,14,7,4,0,4,969,0,0,0,0,0,1,0
131,0,2231.0,4,281,4,0,2643,0,82,일식,15,5,5,0,4,579,1,0,0,0,0,0,0
81,0,2337.0,0,225,4,0,2643,0,330,한식,18,7,1,0,4,1120,0,0,0,0,1,0,0
44,0,2360.0,1,239,4,0,2643,0,387,한식,19,2,2,0,3,980,0,0,0,0,0,0,1
47,0,2334.0,2,262,4,0,2643,0,0,한식,20,4,3,0,4,849,1,0,0,0,0,0,0
66,0,2313.0,3,264,4,0,2643,0,312,한식,21,8,4,0,5,940,0,0,0,0,0,1,0
150,0,2218.0,4,275,4,0,2643,0,86,한식,22,7,5,0,5,698,0,1,0,0,0,0,0
96,0,2346.0,0,201,4,0,2643,0,281,한식,25,8,1,0,4,1227,0,0,0,0,0,1,0
51,0,2365.0,1,227,4,0,2643,0,304,한식,26,6,2,0,3,795,0,0,0,0,0,1,0
71,0,2338.0,2,234,4,0,2643,0,0,한식,27,4,3,0,4,1028,0,1,0,0,0,0,0
56,0,2318.0,3,269,4,0,2643,0,196,한식,28,5,4,0,4,811,0,0,0,0,1,0,0
139,0,2222.0,4,282,4,0,2643,0,28,한식,29,1,5,0,4,652,1,0,0,0,0,0,0
80,0,2341.0,0,214,5,0,2635,0,302,한식,2,5,1,0,4,1242,0,0,0,0,0,1,0
65,0,2319.0,1,251,5,0,2635,0,292,한식,3,3,2,0,4,964,1,0,0,0,0,0,0
150,0,2241.0,2,244,5,1,2635,1,0,한식,4,2,3,0,3,723,0,0,0,0,0,1,0
101,1,2301.0,0,233,5,0,2635,1,344,한식,9,9,1,0,5,1216,0,0,0,0,0,0,1
53,0,2330.0,1,252,5,0,2635,0,350,한식,10,8,2,0,4,1008,0,0,0,0,0,1,0
60,0,2309.0,2,266,5,0,2635,0,0,한식,11,7,3,0,4,915,0,0,0,0,1,0,0
71,0,2290.0,3,274,5,0,2635,0,315,한식,12,5,4,0,5,753,0,1,0,0,0,0,0
185,0,2182.0,4,268,5,0,2635,0,80,한식,13,7,5,0,4,761,0,1,0,0,0,0,0
99,0,2320.0,0,216,5,0,2635,0,368,한식,16,7,1,0,4,1180,0,0,0,0,0,1,0
41,0,2340.0,1,254,5,0,2635,0,377,한식,17,2,2,0,4,899,0,1,0,0,0,0,0
71,0,2307.0,2,257,5,0,2635,0,0,한식,18,5,3,0,4,856,0,0,0,0,1,0,0
65,0,2304.0,3,266,5,0,2635,0,264,한식,19,4,4,0,4,898,0,0,0,0,0,0,1
169,0,2179.0,4,287,5,0,2635,0,56,한식,20,5,5,0,4,653,0,0,0,0,0,0,1
88,0,2344.0,0,203,5,0,2635,0,362,한식,23,8,1,0,5,1160,0,0,0,0,0,1,0
74,0,2327.0,1,234,5,0,2635,0,310,한식,24,3,2,0,6,1107,0,0,0,0,0,0,1
72,0,2305.0,2,258,5,0,2635,0,0,중식,25,2,3,0,4,938,0,0,0,1,0,0,0
64,0,2286.0,3,285,5,0,2635,0,227,한식,26,2,4,0,3,783,0,0,0,0,0,0,1
163,0,2181.0,4,291,5,0,2635,0,61,한식,27,5,5,0,4,660,1,0,0,0,0,0,0
73,0,2347.0,0,215,5,0,2635,0,291,중식,30,7,1,0,4,1231,0,0,0,1,0,0,0
50,0,2335.0,1,250,5,0,2635,0,185,한식,31,5,2,0,4,921,0,0,0,0,0,1,0
75,0,2317.0,2,245,6,0,2637,0,0,한식,1,2,3,0,4,916,0,0,0,0,1,0,0
81,0,2298.0,3,258,6,0,2637,0,301,한식,2,3,4,0,4,850,1,0,0,0,0,0,0
191,0,2178.0,4,268,6,1,2637,1,64,한식,3,5,5,0,3,721,0,1,0,0,0,0,0
115,1,2330.0,1,192,6,0,2637,1,389,한식,7,7,2,0,5,1244,0,0,0,0,0,1,0
58,0,2339.0,2,240,6,0,2637,0,0,중식,8,5,3,0,4,931,0,0,0,0,1,0,0
69,0,2316.0,3,252,6,0,2637,0,359,한식,9,7,4,0,4,829,0,1,0,0,0,0,0
151,0,2216.0,4,270,6,0,2637,0,61,한식,10,2,5,0,4,697,0,0,0,0,0,1,0
98,0,2330.0,0,209,6,0,2637,0,415,한식,13,7,1,0,5,1243,0,0,0,0,0,1,0
56,0,2340.0,1,241,6,0,2637,0,432,한식,14,5,2,0,4,973,1,0,0,0,0,0,0
60,0,2317.0,2,260,6,0,2637,0,0,일식,15,4,3,0,4,984,1,0,0,0,0,0,0
73,0,2301.0,3,263,6,0,2637,0,336,한식,16,2,4,0,4,800,0,1,0,0,0,0,0
165,0,2181.0,4,291,6,0,2637,0,60,한식,17,7,5,0,5,694,0,0,0,0,1,0,0
101,0,2279.0,0,257,6,0,2637,0,344,중식,20,7,1,0,5,1146,0,0,0,1,0,0,0
49,0,2340.0,1,248,6,0,2637,0,349,한식,21,5,2,0,5,1091,0,0,0,0,1,0,0
47,0,2332.0,2,258,6,0,2637,0,0,한식,22,7,3,0,4,1022,0,1,0,0,0,0,0
53,0,2313.0,3,271,6,0,2637,0,346,한식,23,6,4,0,3,877,0,0,0,0,0,1,0
169,0,2184.0,4,284,6,0,2637,0,52,일식,24,7,5,0,4,805,1,0,0,0,0,0,0
96,0,2314.0,0,227,6,0,2637,0,300,한식,27,9,1,0,4,1142,0,0,0,0,0,0,1
63,0,2321.0,1,253,6,0,2637,0,226,한식,28,2,2,0,3,917,0,0,0,0,0,0,1
67,0,2322.0,2,248,6,0,2637,0,0,한식,29,7,3,0,4,820,0,1,0,0,0,0,0
76,0,2314.0,3,247,6,0,2637,0,151,한식,30,5,4,0,4,886,0,0,0,0,0,0,1
145,0,2283.0,4,215,7,0,2643,0,41,한식,1,7,5,0,4,879,0,0,0,0,0,1,0
88,0,2365.0,0,190,7,0,2643,0,385,한식,4,8,1,0,4,1292,0,0,0,0,0,1,0
55,0,2362.0,1,226,7,0,2643,0,376,한식,5,2,2,0,3,952,0,1,0,0,0,0,0
56,0,2363.0,2,224,7,0,2643,0,0,한식,6,5,3,0,4,939,0,0,0,0,1,0,0
64,0,2341.0,3,238,7,0,2643,0,340,한식,7,2,4,0,4,857,1,0,0,0,0,0,0
155,0,2228.0,4,260,7,0,2643,0,60,일식,8,1,5,0,4,863,0,0,0,0,1,0,0
121,0,2312.0,0,210,7,0,2643,0,366,한식,11,7,1,0,4,1115,0,0,0,0,0,1,0
72,0,2348.0,1,223,7,0,2643,0,382,한식,12,5,2,0,5,919,0,0,0,0,1,0,0
79,0,2323.0,2,241,7,0,2643,0,0,중식,13,7,3,0,4,866,0,0,0,1,0,0,0
84,0,2307.0,3,252,7,0,2643,0,308,한식,14,6,4,0,4,781,0,0,0,0,0,1,0
189,0,2193.0,4,261,7,0,2643,0,55,한식,15,7,5,0,5,867,0,1,0,0,0,0,0
126,0,2309.0,0,208,7,0,2643,0,343,한식,18,4,1,0,4,1158,0,0,0,0,1,0,0
111,0,2299.0,1,233,7,0,2643,0,263,일식,19,7,2,0,4,888,1,0,0,0,0,0,0
124,0,2281.0,2,238,7,0,2643,0,0,한식,20,1,3,0,3,844,1,0,0,0,0,0,0
115,0,2273.0,3,255,7,0,2643,0,263,한식,21,8,4,0,4,733,0,0,0,0,0,1,0
251,0,2120.0,4,272,7,0,2643,0,47,일식,22,3,5,0,4,661,0,0,0,0,0,0,1
277,0,2186.0,0,180,7,0,2643,0,247,한식,25,5,1,0,3,1086,0,0,0,0,0,1,0
260,0,2198.0,1,185,7,0,2643,0,269,한식,26,4,2,0,4,927,0,0,0,0,0,0,1
299,0,2152.0,2,192,7,0,2643,0,0,중식,27,7,3,0,4,872,0,1,0,0,0,0,0
340,0,2099.0,3,204,7,0,2643,0,197,한식,28,9,4,0,5,816,0,0,1,0,0,0,0
486,0,1950.0,4,207,7,0,2643,0,36,중식,29,2,5,0,4,671,0,0,0,0,0,0,1
512,0,2023.0,0,109,8,0,2644,0,238,한식,1,2,1,0,4,1055,0,0,0,0,0,0,1
460,0,2017.0,1,167,8,0,2644,0,268,한식,2,3,2,0,4,829,0,0,0,0,0,1,0
485,0,1976.0,2,183,8,0,2644,0,0,중식,3,7,3,0,4,802,0,0,0,1,0,0,0
467,0,1977.0,3,200,8,0,2644,0,262,일식,4,5,4,0,4,671,1,0,0,0,0,0,0
538,0,1894.0,4,212,8,0,2644,0,46,한식,5,7,5,0,4,641,0,1,0,0,0,0,0
421,0,2043.0,0,180,8,0,2644,0,255,한식,8,7,1,0,4,1038,0,0,0,0,0,1,0
392,0,2070.0,1,182,8,0,2644,0,286,양식,9,1,2,0,4,874,1,0,0,0,0,0,0
411,0,2045.0,2,188,8,0,2644,0,0,한식,10,6,3,0,4,842,0,0,0,0,1,0,0
413,0,2029.0,3,202,8,0,2644,0,295,한식,11,7,4,0,4,845,0,0,0,0,0,0,1
587,0,1842.0,4,215,8,1,2644,1,60,일식,12,2,5,0,4,708,0,0,0,0,1,0,0
352,1,2115.0,1,177,8,0,2644,1,351,한식,16,2,2,0,3,1023,1,0,0,0,0,0,0
311,0,2142.0,2,191,8,0,2644,0,0,한식,17,2,3,0,5,924,0,0,0,0,0,1,0
274,0,2155.0,3,215,8,0,2644,0,364,일식,18,3,4,0,4,943,0,0,0,0,1,0,0
345,0,2062.0,4,237,8,0,2644,0,59,한식,19,8,5,0,4,754,0,0,0,0,0,1,0
115,0,2370.0,0,159,8,0,2644,0,458,중식,22,3,1,0,5,1266,0,0,0,0,0,1,0
86,0,2347.0,1,211,8,0,2644,0,386,중식,23,7,2,0,4,1145,0,0,0,1,0,0,0
113,0,2322.0,2,209,8,0,2644,0,0,한식,24,5,3,0,4,941,0,0,0,0,0,1,0
123,0,2280.0,3,241,8,0,2644,0,308,한식,25,3,4,0,3,885,1,0,0,0,0,0,0
194,0,2181.0,4,269,8,0,2644,0,70,한식,26,5,5,0,4,813,0,0,0,0,1,0,0
132,0,2310.0,0,202,8,0,2644,0,352,한식,29,8,1,0,4,1258,0,0,0,0,0,1,0
96,0,2306.0,1,242,8,0,2644,0,268,한식,30,2,2,0,4,901,0,0,0,0,0,0,1
98,0,2310.0,2,236,8,0,2644,0,0,한식,31,3,3,0,4,915,0,0,0,0,0,0,1
99,0,2420.0,3,250,9,0,2769,0,336,일식,1,7,4,0,5,953,1,0,0,0,0,0,0
177,0,2313.0,4,279,9,0,2769,0,76,한식,2,5,5,0,4,832,0,1,0,0,0,0,0
100,0,2444.0,0,225,9,0,2769,0,447,한식,5,2,1,0,3,1164,0,0,0,0,0,1,0
59,0,2457.0,1,253,9,0,2769,0,477,한식,6,2,2,0,4,784,0,0,0,0,1,0,0
65,0,2463.0,2,241,9,0,2769,0,0,한식,7,4,3,0,4,926,0,0,0,0,1,0,0
69,0,2445.0,3,255,9,0,2769,0,438,한식,8,9,4,0,4,758,0,0,0,0,0,1,0
137,0,2344.0,4,288,9,0,2769,0,86,중식,9,5,5,0,5,682,0,0,0,0,1,0,0
328,0,2265.0,0,176,9,0,2769,1,306,한식,12,5,1,0,4,924,0,0,0,0,0,1,0
511,0,2150.0,1,108,9,1,2769,1,52,한식,13,7,2,0,4,820,0,1,0,0,0,0,0
167,1,2422.0,0,180,9,0,2769,1,550,한식,19,9,1,0,5,1271,0,0,0,0,0,1,0
69,0,2473.0,1,227,9,0,2769,0,588,중식,20,7,2,0,4,1039,0,0,0,1,0,0,0
58,0,2465.0,2,246,9,0,2769,0,0,한식,21,3,3,0,4,1068,0,0,0,0,0,0,1
137,0,2379.0,3,253,9,0,2769,0,403,한식,22,3,4,0,3,891,0,1,0,0,0,0,0
165,0,2326.0,4,278,9,0,2769,0,99,한식,23,8,5,0,5,716,0,0,0,0,0,1,0
70,0,2475.0,0,224,9,0,2769,0,494,한식,26,7,1,0,4,1185,0,0,0,0,0,1,0
56,0,2480.0,1,233,9,0,2769,0,380,한식,27,5,2,0,4,1033,0,0,0,0,1,0,0
50,0,2494.0,2,225,9,0,2769,0,0,일식,28,3,3,0,4,1128,0,0,1,0,0,0,0
153,0,2389.0,3,227,9,0,2769,0,331,한식,29,7,4,0,4,1044,1,0,0,0,0,0,0
158,0,2355.0,4,256,9,0,2769,0,59,한식,30,2,5,0,4,843,0,0,0,0,0,0,1
59,0,2372.0,1,239,10,0,2670,0,1035,한식,4,8,2,0,4,1262,0,0,0,0,0,1,0
41,0,2401.0,2,228,10,0,2670,0,0,한식,5,6,3,0,3,1336,0,0,0,0,0,1,0
56,0,2369.0,3,245,10,0,2670,0,378,한식,6,8,4,0,4,1196,0,1,0,0,0,0,0
144,0,2274.0,4,252,10,0,2670,0,80,중식,7,7,5,0,5,843,0,0,0,1,0,0,0
104,0,2350.0,0,216,10,0,2670,0,443,한식,10,2,1,0,3,1180,0,0,0,0,0,1,0
69,0,2345.0,1,256,10,0,2670,0,386,한식,11,7,2,0,4,1014,0,0,0,0,0,0,1
64,0,2355.0,2,251,10,0,2670,0,0,한식,12,2,3,0,4,951,0,0,0,0,1,0,0
66,0,2342.0,3,262,10,0,2670,0,612,한식,13,5,4,0,4,1051,0,0,0,0,1,0,0
144,0,2261.0,4,265,10,0,2670,0,172,한식,14,7,5,0,5,898,0,1,0,0,0,0,0
107,0,2322.0,0,241,10,0,2670,0,425,한식,17,8,1,0,4,1196,0,0,0,0,0,1,0
53,0,2355.0,1,262,10,0,2670,0,394,한식,18,1,2,0,5,994,1,0,0,0,0,0,0
72,0,2331.0,2,267,10,0,2670,0,0,중식,19,5,3,0,4,933,0,0,0,0,1,0,0
105,0,2296.0,3,269,10,0,2670,0,281,한식,20,2,4,0,5,787,0,1,0,0,0,0,0
228,0,2162.0,4,280,10,0,2670,0,62,중식,21,7,5,0,4,760,0,0,0,1,0,0,0
120,0,2327.0,0,223,10,0,2670,0,367,한식,24,7,1,0,4,1171,0,0,0,0,0,1,0
73,0,2338.0,1,259,10,0,2670,0,345,한식,25,2,2,0,3,1028,0,0,0,0,0,0,1
89,0,2323.0,2,258,10,0,2670,0,0,일식,26,5,3,0,4,854,0,0,0,0,1,0,0
94,0,2304.0,3,272,10,0,2670,0,240,한식,27,7,4,0,5,807,1,0,0,0,0,0,0
192,0,2201.0,4,277,10,0,2670,0,63,한식,28,2,5,0,4,731,1,0,0,0,0,0,0
134,0,2313.0,0,223,10,0,2670,0,255,한식,31,8,1,0,4,1224,0,0,0,0,0,1,0
70,0,2407.0,1,212,11,0,2689,0,515,한식,1,5,2,0,5,1087,0,0,0,0,0,1,0
73,0,2385.0,2,231,11,0,2689,0,0,한식,2,9,3,0,4,1006,0,0,0,0,0,0,1
72,0,2334.0,3,283,11,0,2689,0,408,한식,3,6,4,0,3,864,0,0,0,0,0,1,0
168,0,2245.0,4,276,11,0,2689,0,81,한식,4,3,5,0,3,803,1,0,0,0,0,0,0
133,0,2334.0,0,222,11,0,2689,0,539,한식,7,7,1,0,5,1156,0,0,0,0,0,1,0
60,0,2379.0,1,250,11,0,2689,0,503,한식,8,5,2,0,3,986,0,0,0,0,1,0,0
58,0,2364.0,2,267,11,0,2689,0,0,중식,9,3,3,0,5,920,0,0,0,0,0,1,0
73,0,2349.0,3,267,11,0,2689,0,385,한식,10,8,4,0,4,795,1,0,0,0,0,0,0
173,0,2230.0,4,286,11,0,2689,0,69,중식,11,7,5,0,4,652,0,0,0,1,0,0,0
92,0,2370.0,0,227,11,0,2689,0,461,한식,14,8,1,0,5,1260,0,0,0,0,0,1,0
66,0,2350.0,1,273,11,0,2689,0,418,일식,15,5,2,0,4,914,1,0,0,0,0,0,0
60,0,2379.0,2,250,11,0,2689,0,0,중식,16,6,3,0,4,888,1,0,0,0,0,0,0
134,0,2292.0,3,263,11,0,2689,0,411,한식,17,2,4,0,3,882,0,0,0,0,0,0,1
219,0,2183.0,4,287,11,0,2689,0,57,중식,18,5,5,0,4,730,0,0,0,0,1,0,0
94,0,2393.0,0,202,11,0,2689,0,522,중식,21,7,1,0,4,1235,0,0,0,1,0,0,0
45,0,2406.0,1,238,11,0,2689,0,452,한식,22,8,2,0,5,1046,0,0,0,0,0,1,0
52,0,2386.0,2,251,11,0,2689,0,0,한식,23,5,3,0,4,891,0,0,0,0,1,0,0
61,0,2366.0,3,262,11,0,2689,0,351,한식,24,8,4,0,4,870,0,0,0,0,0,1,0
200,0,2210.0,4,279,11,0,2689,0,68,일식,25,3,5,0,4,720,0,0,0,0,0,0,1
114,0,2356.0,0,219,11,0,2689,0,397,한식,28,2,1,0,3,1246,0,0,0,0,0,1,0
84,0,2387.0,1,218,11,0,2689,0,388,한식,29,7,2,0,4,900,0,0,0,0,0,1,0
68,0,2414.0,2,207,11,0,2689,0,0,한식,30,5,3,0,4,1109,0,0,0,0,1,0,0
84,0,2378.0,3,243,12,0,2705,0,688,한식,1,3,4,0,4,956,1,0,0,0,0,0,0
183,0,2250.0,4,272,12,0,2705,0,152,한식,2,5,5,0,4,766,0,1,0,0,0,0,0
101,0,2397.0,0,207,12,0,2705,0,839,한식,5,9,1,0,4,1110,0,0,0,0,0,0,1
69,0,2414.0,1,222,12,0,2705,0,799,한식,6,7,2,0,5,930,0,0,0,0,0,0,1
69,0,2404.0,2,232,12,0,2705,0,0,중식,7,2,3,0,4,895,0,0,0,1,0,0,0
76,0,2367.0,3,262,12,0,2705,0,587,한식,8,7,4,0,4,787,0,1,0,0,0,0,0
196,0,2225.0,4,284,12,0,2705,0,152,한식,9,2,5,0,3,621,1,0,0,0,0,0,0
102,0,2410.0,0,193,12,0,2705,0,633,한식,12,7,1,0,4,1069,0,0,0,0,0,1,0
65,0,2414.0,1,226,12,0,2705,0,511,한식,13,2,2,0,4,770,0,0,0,0,1,0,0
82,0,2376.0,2,247,12,0,2705,0,0,일식,14,3,3,0,4,904,0,0,0,0,1,0,0
98,0,2373.0,3,234,12,0,2705,0,229,한식,15,9,4,0,4,850,0,0,0,0,0,1,0
167,0,2276.0,4,262,12,0,2705,0,37,한식,16,2,5,0,3,699,0,0,0,0,0,0,1
104,0,2384.0,0,217,12,0,2705,0,197,한식,19,8,1,0,4,1215,0,0,0,0,0,1,0
89,0,2378.0,1,238,12,0,2705,0,126,중식,20,3,2,0,4,790,0,0,0,0,0,1,0
72,0,2403.0,2,230,12,0,2705,0,0,한식,21,5,3,0,4,929,0,0,0,0,1,0,0
118,0,2345.0,3,242,12,0,2705,0,32,한식,22,8,4,0,5,524,0,0,0,0,0,1,0
343,0,2119.0,4,243,12,0,2705,0,7,한식,23,4,5,0,4,560,1,0,0,0,0,0,0
206,0,2305.0,0,194,12,0,2705,0,63,한식,26,8,1,0,5,1192,0,0,0,0,0,1,0
127,0,2342.0,1,236,12,0,2705,0,51,한식,27,5,2,0,4,823,0,0,0,0,0,1,0
166,0,2314.0,2,225,12,0,2705,0,0,한식,28,1,3,0,4,767,1,0,0,0,0,0,0
242,0,2262.0,3,201,12,1,2705,0,42,한식,29,2,4,0,4,711,0,0,0,0,0,1,0
529,0,2049.0,4,127,12,0,2705,0,3,일식,30,1,5,0,4,658,0,0,0,0,1,0,0
96,0,2499.0,0,102,1,0,2697,0,272,한식,2,6,1,0,4,1273,0,0,0,0,0,1,0
61,0,2478.0,1,158,1,0,2697,0,259,한식,3,3,2,0,5,1041,0,1,0,0,0,0,0
67,0,2460.0,2,170,1,0,2697,0,0,한식,4,3,3,0,5,949,0,0,0,0,0,0,1
79,0,2411.0,3,207,1,0,2697,0,316,한식,5,2,4,0,3,1000,0,0,0,0,0,0,1
189,0,2284.0,4,224,1,0,2697,0,74,중식,6,7,5,0,4,830,0,0,0,1,0,0,0
121,0,2410.0,0,166,1,0,2697,0,445,중식,9,7,1,0,4,1322,0,1,0,0,0,0,0
70,0,2428.0,1,199,1,0,2697,0,412,한식,10,4,2,0,3,1186,0,0,0,0,0,1,0
57,0,2417.0,2,223,1,0,2697,0,0,일식,11,2,3,0,4,1039,0,0,0,0,1,0,0
85,0,2374.0,3,238,1,0,2697,0,305,한식,12,5,4,0,5,976,0,1,0,0,0,0,0
191,0,2259.0,4,247,1,0,2697,0,62,양식,13,1,5,0,5,791,1,0,0,0,0,0,0
123,0,2378.0,0,196,1,0,2697,0,432,한식,16,2,1,0,4,1273,0,0,0,0,0,1,0
75,0,2407.0,1,215,1,0,2697,0,380,한식,17,8,2,0,4,1035,0,0,0,0,0,1,0
59,0,2398.0,2,240,1,0,2697,0,0,한식,18,9,3,0,4,863,0,0,0,0,0,0,1
